strategy,rebalance_date,train_start,train_end,feature,rule,direction,q25,q75,val_sharpe,val_expectancy,train_sharpe,train_expectancy,train_obs
bear_put_spread,2019-04-08,2016-09-06,2019-04-05,month,q75_momentum,1,3.0,10.0,4.08782747301947,0.08675908472865537,1.9746417826357512,0.02334039589207054,228
bear_put_spread,2019-06-21,2016-11-07,2019-06-19,slope_up,q25_reversion,-1,-1.7011168557991303,3.776888232362157,3.4060873528198026,0.03393306681544936,-0.49273614080386985,-0.0077958819980869665,178
bear_put_spread,2019-09-04,2017-01-11,2019-09-03,isk,q75_momentum,-1,-1.0626619827561994e-05,-1.1315744677782989e-06,4.700666626095734,0.022206823172789644,0.23695482161777634,0.001881212175982842,180
bear_put_spread,2019-12-02,2017-05-03,2019-11-27,reversion_z20,q75_momentum,-1,-0.547895413723938,1.428142367291435,6.18111158943876,0.034201598063556736,-0.7069372242824887,-0.006746354865541741,183
bear_put_spread,2020-02-28,2017-08-21,2020-02-26,month,q25_reversion,1,3.0,10.0,4.675585985911855,0.06142634606942371,-0.8636096939628349,-0.012224163353781042,220
bear_put_spread,2020-04-15,2017-12-01,2020-04-13,SPX_lret,q75_momentum,1,-0.0029364304299004124,0.0031061545851382485,4.569093536311462,0.08939183842975594,0.1769047404540656,0.002218315609489358,185
bear_put_spread,2020-06-12,2018-02-14,2020-06-10,price_vs_ma20,q75_momentum,-1,-0.00931769286227968,0.01722037479593741,4.220423887406679,0.07289262109560178,0.44563868268991,0.0038143601551587094,186
bear_put_spread,2020-08-14,2018-04-09,2020-08-12,weekday,q25_reversion,-1,0.0,4.0,6.270867649986163,0.08172067897680013,-1.9047848916674412,-0.024790308694252843,215
bear_put_spread,2020-10-12,2018-07-25,2020-10-09,weekday,q25_reversion,-1,0.0,4.0,6.997299891383195,0.0800317028455746,-0.9950121152721014,-0.013310433471941238,213
bear_put_spread,2020-12-16,2018-10-01,2020-12-14,isk,q75_momentum,-1,-2.1375695440157736e-05,-4.461280051596605e-06,3.86752416248376,0.013872030499680658,1.070233042973005,0.009556659578154778,190
bear_put_spread,2021-03-05,2018-12-03,2021-03-03,vix,q75_momentum,1,2.6112735690341136e-05,0.00013751615442410506,4.630935387836373,0.06254480342491829,0.7952265939211123,0.013757098363473696,191
