strategy,strategy_label,days,mean_gross_bp,sr_gross,mean_net_bp,sr_net,hit_rate,long_share,es1_bp,worst_day_bp,max_drawdown_bp,selected_signal,selected_signal_sr_net,selected_signal_mean_net_bp,selected_model
put_ratio_spread,Put Ratio Spread,681,3.646734955765495,1.8235795573341433,3.122122385299152,1.5618954235462703,0.6651982378854625,0.39794419970631423,-127.32839964632004,-222.4860513602517,-531.8917007681694,Rolling (252d),1.5618954235462703,3.122122385299152,Logistic benchmark
strangle,Strangle/Straddle,682,2.7710799497523966,0.9008206364557195,2.257042861704651,0.7337876718361224,0.6715542521994134,0.08651026392961877,-204.9514097606394,-278.8068334691309,-761.3733983188747,Rolling (252d),0.7337876718361224,2.257042861704651,Logistic benchmark
risk_reversal,Risk Reversal,682,1.358218582031892,0.32392495632706036,0.8441814939841459,0.20131534633800743,0.6920821114369502,0.8548387096774194,-304.4230382051072,-536.3693281137929,-2013.7205752922162,Rolling (252d),0.2013153463380074,0.8441814939841459,Logistic benchmark
iron_condor,Iron Butterfly/Condor,682,0.5837517795478832,1.0800323017654758,0.05360481146886168,0.09922829713989355,0.6392961876832844,0.3841642228739003,-17.344211101412924,-18.76711268504908,-258.02559118482503,Rolling (252d),0.0992282971398935,0.0536048114688616,Logistic benchmark
bear_put_spread,Bear Put Spread,681,0.17968589989029018,0.1336585479821933,-0.33769153239927624,-0.25116244884080136,0.6240822320117474,0.1013215859030837,-40.30210819552068,-46.32663337788273,-655.2861508276092,Rolling (252d),-0.2511624488408013,-0.3376915323992762,Logistic benchmark
bull_call_spread,Bull Call Spread,682,0.08571900135061405,0.06473618807757313,-0.4305551750409221,-0.3251730807864093,0.5454545454545454,0.1598240469208211,-36.262392413432146,-37.6469595510785,-912.6847612173391,Rolling (252d),-0.3251730807864093,-0.4305551750409221,Logistic benchmark
call_ratio_spread,Call Ratio Spread,682,-0.2766015249306157,-0.11712645515393709,-0.7996808899839518,-0.33856331142443624,0.592375366568915,0.29765395894428154,-238.35746757537825,-355.8901375822865,-1128.9787699334272,Rolling (252d),-0.3385633114244362,-0.7996808899839518,Logistic benchmark
basket_eqw_top_mean,Equal-weight basket (Top 3 by Mean PNL),682,2.5742224605247155,1.377259192261382,2.0566685219189704,1.1004399045913382,0.7008797653958945,0.4464809384164223,-132.30968974649363,-207.63939139578332,-530.556745352818,,,,
basket_eqw_top_sr,Equal-weight basket (Top 3 by SR),682,2.5742224605247155,1.377259192261382,2.0566685219189704,1.1004399045913382,0.7008797653958945,0.4464809384164223,-132.30968974649363,-207.63939139578332,-530.556745352818,,,,
basket_eqw_all,Equal-weight basket (All),682,1.1879324911656977,1.1717807067926014,0.6679980805695601,0.6589118313920965,0.5879765395894428,0.32609970674486793,-73.25057020934436,-133.62057770609005,-399.5311329160377,,,,
